15552,15344,15360,15360
15616,15456,15456,15472
15472,15248,15360,15344
15472,15264,15312,15344
15616,15456,15472,15424
15376,15200,15264,15248
15632,15440,15488,15456
15440,15216,15232,15264
15584,15440,15424,15440
15408,15232,15248,15248
15616,15296,15568,15472
15568,15376,15488,15424
15424,15216,15232,15264
15600,15328,15456,15488
15584,15392,15344,15408
15392,15248,15232,15296
15408,15216,15232,15264
15584,15344,15312,15376
15344,15200,15248,15264
15600,15424,15456,15456
15408,15184,15248,15296
15488,15248,15248,15296
15504,15296,15328,15344
15616,15424,15472,15472
15456,15376,15392,15392
15392,15216,15248,15248
15456,15424,15456,15440
15584,15408,15408,15424
15504,15344,15392,15392
15488,15232,15248,15232
15584,15280,15344,15392
15616,15456,15440,15488
15616,15280,15280,15344
15584,15424,15408,15456
15568,15312,15360,15424
15504,15296,15312,15376
15408,15248,15232,15232
15392,15232,15248,15280
15568,15440,15424,15520
15408,15232,15232,15168
15568,15408,15424,15440
15440,15248,15264,15280
15616,15424,15456,15456
15440,15216,15248,15264
15536,15392,15360,15392
15584,15392,15408,15408
15408,15216,15120,15280
15488,15280,15328,15344
15472,15392,15344,15376
15600,15408,15408,15488
15648,15440,15456,15456
15392,15184,15232,15264
15408,15232,15232,15184
15440,15232,15264,15280
15616,15440,15456,15456
15408,15216,15264,15248
15440,15216,15232,15296
15424,15168,15248,15264
15552,15200,15328,15376
15584,15376,15392,15456
15616,15296,15312,15360
15536,15360,15392,15328
15584,15392,15408,15456
15488,15328,15328,15328
15616,15408,15424,15456
15488,15296,15232,15328
15552,15392,15376,15424
15488,15248,15296,15296
15536,15312,15376,15424
+D 50
::15328,15264,15152,15280
15456,15280,15280,15280
15616,15440,15456,15472
15552,15392,15376,15408
15616,15456,15424,15456
15424,15280,15264,15280
15600,15424,15456,15440
15376,15376,15328,15440
15408,15200,15200,15264
15600,15408,15424,15488
15488,15296,15312,15472
15376,15184,15248,15216
15648,15344,15392,15392
15408,15216,15120,15216
15568,15376,15376,15424
15408,15184,15248,15312
15408,15216,15216,15280
15536,15312,15328,15344
15536,15360,15376,15360
15344,15136,15248,15232
15552,15376,15456,15456
15360,15232,15232,15248
15424,15216,15376,15376
15632,15440,15440,15472
15408,15248,15232,15248
15520,15360,15344,15360
15616,15408,15456,15488
15456,15248,15248,15328
15408,15216,15200,15232
15568,15392,15408,15440
15552,15392,15376,15376
15616,15456,15440,15440
15408,15248,15216,15200
15536,15360,15344,15408
15392,15248,15216,15232
15456,15264,15248,15296
15616,15440,15456,15520
15552,15344,15296,15424
15440,15216,15248,15264
15632,15424,15472,15504
15568,15424,15392,15408
15392,15200,15184,15232
15552,15424,15472,15456
15568,15392,15408,15392
15424,15248,15312,15232
15616,15440,15408,15440
15504,15312,15408,15408
15408,15264,15232,15248
15584,15424,15392,15440
15392,15232,15296,15264
15456,15232,15392,15392
15408,15088,15248,15248
15536,15344,15392,15376
15568,15280,15440,15456
15424,15312,15248,15248
15584,15344,15392,15408
15568,15376,15376,15424
15520,15328,15360,15424
15632,15376,15456,15504
15424,15312,15296,15344
15584,15408,15392,15408
15520,15392,15408,15360
15392,15216,15248,15248
15632,15408,15360,15488
15520,15280,15328,15328
15424,15200,15232,15280
15504,15344,15296,15408
15392,15232,15216,15232
15632,15440,15424,15440
15488,15328,15344,15408
15600,15440,15408,15392
15328,15216,15248,15232
15648,15328,15472,15504
15472,15296,15344,15376
15504,15312,15328,15360
15472,15312,15136,15264
15408,15232,15232,15200
15536,15376,15408,15424
15424,15296,15312,15312
15424,15248,15248,15248
15440,15280,15296,15296
15536,15392,15376,15440
15376,15200,15216,15296
15440,15200,15216,15280
15584,15424,15456,15440
15488,15392,15408,15424
15584,15376,15424,15408
15408,15248,15264,15264
15568,15392,15456,15488
15632,15440,15456,15488
15440,15200,15216,15264
15424,15248,15232,15296
15504,15456,15440,15456
15392,15184,15248,15264
15568,15360,15376,15424
15648,15472,15424,15440
15568,15344,15376,15408
15664,15360,15408,15424
15392,15232,15232,15248
15648,15456,15456,15504
15536,15344,15376,15424
15408,15232,15232,15264
15648,15456,15472,15488
15504,15216,15344,15376
15552,15376,15424,15472
15392,15200,15232,15264
15520,15312,15360,15392
15504,15344,15344,15376
15584,15392,15424,15456
15424,15216,15216,15264
15584,15328,15456,15472
15568,15472,15440,15456
15520,15392,15424,15376
15536,15344,15328,15360
15408,15072,15232,15280
15360,15280,15376,15280
15536,15392,15392,15424
15616,15424,15424,15488
15536,15376,15328,15408
15536,15344,15376,15328
